DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/02/2018,14:45,MANHATTAN,10019,40.7674,-73.98238,"(40.7674, -73.98238)",WEST 58 STREET                  ,8 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,3874406,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/02/2018,14:45,MANHATTAN,10023,40.7775,-73.982475,"(40.7775, -73.982475)",,,2041      BROADWAY                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3873937,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/02/2018,14:45,,,40.764236,-73.93701,"(40.764236, -73.93701)",12 STREET                       ,,,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,3874595,PASSENGER VEHICLE,TAXI,,,
04/02/2018,14:50,BROOKLYN,11214,40.602535,-73.99321,"(40.602535, -73.99321)",BAY PARKWAY                     ,85 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unsafe Lane Changing,,,,3877845,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/02/2018,14:50,QUEENS,11434,40.684982,-73.79062,"(40.684982, -73.79062)",155 STREET                      ,115 ROAD,,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,3877286,SPORT UTILITY / STATION WAGON,,,,
04/02/2018,14:55,QUEENS,11385,40.691433,-73.89063,"(40.691433, -73.89063)",CYPRESS AVENUE                  ,VERMONT PLACE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3874247,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/02/2018,14:55,,,40.646328,-73.91276,"(40.646328, -73.91276)",REMSEN AVENUE                   ,AVENUE D,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3874909,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/02/2018,14:55,BROOKLYN,11213,40.668774,-73.93052,"(40.668774, -73.93052)",,,1133      EASTERN PARKWAY               ,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,3875565,BU,PASSENGER VEHICLE,,,
04/02/2018,14:59,BROOKLYN,11207,40.661835,-73.89311,"(40.661835, -73.89311)",PENNSYLVANIA AVENUE             ,NEW LOTS AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3874823,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/02/2018,15:00,BROOKLYN,11217,40.6791,-73.9874,"(40.6791, -73.9874)",NEVINS STREET                   ,UNION STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3874126,SPORT UTILITY / STATION WAGON,,,,
04/02/2018,15:00,BROOKLYN,11217,40.682148,-73.982864,"(40.682148, -73.982864)",WARREN STREET                   ,3 AVENUE,,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,,,3874994,TAXI,TAXI,,,
04/02/2018,15:00,BROOKLYN,11226,40.653976,-73.952835,"(40.653976, -73.952835)",ROGERS AVENUE                   ,LENOX ROAD,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3874417,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/02/2018,15:00,BROOKLYN,11235,40.587967,-73.954346,"(40.587967, -73.954346)",AVENUE Z                        ,EAST 15 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3874344,PICK-UP TRUCK,,,,
04/02/2018,15:00,MANHATTAN,10001,40.750786,-74.00564,"(40.750786, -74.00564)",WEST 26 STREET                  ,11 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3874962,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/02/2018,15:00,MANHATTAN,10005,40.705914,-74.00861,"(40.705914, -74.00861)",,,60        WALL STREET                   ,0,0,0,0,0,0,0,0,Unspecified,,,,,3873963,PASSENGER VEHICLE,,,,
04/02/2018,15:00,MANHATTAN,10010,40.737877,-73.97689,"(40.737877, -73.97689)",,,425       EAST 25 STREET                ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3875310,TAXI,PICK-UP TRUCK,,,
04/02/2018,15:00,QUEENS,11419,40.69383,-73.82888,"(40.69383, -73.82888)",118 STREET                      ,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3874050,PASSENGER VEHICLE,,,,
04/02/2018,15:00,QUEENS,11420,40.67626,-73.81525,"(40.67626, -73.81525)",123 STREET                      ,116 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3873946,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/02/2018,15:00,QUEENS,11426,40.741386,-73.72489,"(40.741386, -73.72489)",UNION TURNPIKE                  ,COMMONWEALTH BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3874071,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
